# Logfile created on 2026-03-12 17:40:15 +0100 by logger.rb/v1.5.3
2026-03-12 17:40:15 +0100: Memory Usage (430192K) : psd_drw has 1 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430320K) : nldb_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430320K) : digibnd_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430320K) : via1_drw has 14 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430448K) : backmetal1_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430448K) : backmetal1_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430576K) : backmetal1_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430576K) : backmetal1_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430704K) : backmetal1_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430704K) : backmetal1_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430704K) : backmetal1_text has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430832K) : backmetal1_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430832K) : backmetal1_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430960K) : backmetal1_res has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (430960K) : backmetal1_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431088K) : backmetal1_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431088K) : backpassiv_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431088K) : res_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431216K) : sram_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431216K) : trans_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431344K) : ind_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431472K) : ind_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431472K) : ind_text has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431600K) : salblock_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431600K) : via2_drw has 14 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431728K) : metal3_drw has 4 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431728K) : metal3_pin has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431856K) : metal3_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431856K) : metal3_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431984K) : metal3_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431984K) : metal3_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (431984K) : metal3_text has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432112K) : metal3_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432112K) : metal3_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432240K) : metal3_res has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432240K) : metal3_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432368K) : metal3_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432496K) : nwell_drw has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432496K) : nwell_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432496K) : nbulay_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432624K) : nbulay_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432624K) : nbulay_block has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432752K) : emwind_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432880K) : emwind_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432880K) : deepco_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (432880K) : deepco_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433008K) : mim_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433136K) : edgeseal_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433136K) : edgeseal_bound has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433264K) : substrate_drw has 1 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433264K) : substrate_text has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433392K) : dfpad_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433392K) : dfpad_pillar has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433392K) : dfpad_sbump has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433520K) : thickgateox_drw has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433520K) : pldb_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433648K) : pwell_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433648K) : pwell_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433776K) : pwell_block has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433776K) : ic_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433776K) : via3_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (433904K) : metal4_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434032K) : metal4_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434032K) : metal4_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434160K) : metal4_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434160K) : metal4_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434160K) : metal4_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434288K) : metal4_text has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434288K) : metal4_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434416K) : metal4_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434416K) : metal4_res has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434544K) : metal4_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434544K) : metal4_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434672K) : heattrans_drw has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434672K) : heatres_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434800K) : pempoly_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434800K) : fbe_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (434928K) : empoly_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435056K) : ldmos_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435056K) : pbiwind_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435056K) : digisub_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435184K) : nodrc_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435184K) : text_drw has 2 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435312K) : via4_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435312K) : metal5_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435440K) : metal5_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435440K) : metal5_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435440K) : metal5_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435568K) : metal5_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435568K) : metal5_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435696K) : metal5_text has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435696K) : metal5_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435824K) : metal5_noqrc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435824K) : metal5_res has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435824K) : metal5_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (435952K) : metal5_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436080K) : radhard_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436080K) : memcap_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436208K) : varicap_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436208K) : flash_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436336K) : intbondvia_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436336K) : intbondmet_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436464K) : devbondvia_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436464K) : devbondmet_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436592K) : devtrench_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436592K) : redist_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436720K) : graphbot_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436720K) : graphtop_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436720K) : antvia1_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436848K) : antmetal2_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436848K) : graphcont_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436976K) : siwg_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (436976K) : siwg_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437104K) : siwg_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437104K) : sigrating_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437232K) : singrating_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437232K) : graphpas_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437360K) : emwind3_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437360K) : emwihv3_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437488K) : redbulay_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437488K) : smos_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437488K) : graphpad_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437616K) : polimide_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437616K) : polimide_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437744K) : recog_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437872K) : recog_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437872K) : recog_esd has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (437872K) : recog_diode has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438000K) : recog_tsv has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438000K) : recog_iprobe has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438128K) : recog_diffprb has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438128K) : recog_pillar has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438256K) : recog_sbump has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438256K) : recog_otp has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438384K) : recog_pdiode has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438384K) : recog_mom has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438384K) : recog_pcm has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438384K) : colopen_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438512K) : graphmetal1_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438512K) : graphmetal1_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438512K) : graphmetal1_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438640K) : graphmetal1_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438640K) : graphmetal1_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438640K) : graphmet1l_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438768K) : graphmet1l_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438768K) : graphmet1l_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438768K) : graphmet1l_slit has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438768K) : graphmet1l_opc has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438896K) : extblock_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438896K) : nldd_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (438896K) : pldd_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439024K) : next_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439024K) : pext_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439152K) : nexthv_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439152K) : pexthv_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439280K) : graphgate_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439280K) : sinwg_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439280K) : sinwg_filler has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439408K) : sinwg_nofill has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439408K) : mempad_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439536K) : topvia1_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439536K) : topmetal1_drw has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439664K) : topmetal1_pin has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439664K) : topmetal1_mask has 0 polygons
2026-03-12 17:40:15 +0100: Memory Usage (439664K) : topmetal1_filler has 0 polygons
